Driver,Team,LapNumber,LapTime,Stint,Compound,TyreLife,Position,Year,GP,IsAccurate,Unnamed: 0,Length,Abrasion,Traction,Braking,TrackEvo,Grip,Lateral,Downforce,TyreStress,LapTimePerKM
HUL,Alpine,14.0,94.476,2.0,HARD,1.0,13.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,17.89996210685866
RIC,Alpine,2.0,98.185,2.0,HARD,1.0,20.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,18.602690413035244
VER,Red Bull Racing,26.0,93.652,2.0,MEDIUM,1.0,5.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,17.74384236453202
NOR,McLaren,16.0,95.822,2.0,HARD,1.0,13.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,18.1549829480864
HAM,Mercedes,16.0,95.64200000000001,2.0,MEDIUM,1.0,4.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,18.120879120879124
VET,Ferrari,15.0,93.69200000000001,2.0,MEDIUM,1.0,5.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,17.751420992800305
RUS,Williams,27.0,95.72,2.0,SOFT,1.0,18.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,18.135657446002273
RUS,Williams,43.0,99.131,3.0,HARD,1.0,16.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,18.781924971580146
RAI,Alfa Romeo,13.0,95.905,2.0,MEDIUM,1.0,15.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,18.170708601743087
BOT,Mercedes,24.0,93.805,2.0,MEDIUM,1.0,2.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,17.772830617658208
GRO,Haas F1 Team,16.0,95.081,2.0,MEDIUM,1.0,14.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,18.01458885941645
KUB,Williams,2.0,99.74000000000001,2.0,MEDIUM,2.0,19.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,18.897309586964763
KUB,Williams,29.0,96.902,3.0,SOFT,1.0,19.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,18.35960591133005
KUB,Williams,45.0,101.93700000000001,4.0,SOFT,3.0,17.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,19.313565744600233
GIO,Alfa Romeo,28.0,94.894,2.0,SOFT,1.0,17.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,17.979158772262224
GAS,AlphaTauri,19.0,115.70400000000001,2.0,MEDIUM,1.0,12.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,19.924918202169795
PER,Aston Martin,20.0,114.62700000000001,2.0,MEDIUM,1.0,13.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,19.739452385052523
PER,Aston Martin,42.0,112.784,3.0,SOFT,1.0,11.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,19.422076803857415
LEC,Ferrari,4.0,121.14200000000001,2.0,MEDIUM,1.0,20.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,20.86137420354744
LEC,Ferrari,26.0,113.364,3.0,SOFT,1.0,12.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,19.521956259686586
LEC,Ferrari,47.0,115.048,4.0,SOFT,4.0,6.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,19.811951093507833
STR,Aston Martin,19.0,115.171,2.0,MEDIUM,1.0,13.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,19.83313242638195
MAG,Haas F1 Team,18.0,116.677,2.0,HARD,1.0,18.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,20.09247459962115
MAG,Haas F1 Team,48.0,117.551,3.0,SOFT,1.0,17.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,20.242982607198208
ALB,Red Bull Racing,16.0,113.19200000000001,2.0,MEDIUM,1.0,10.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,19.492336834854488
ALB,Red Bull Racing,35.0,113.575,3.0,SOFT,4.0,4.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,19.558291716893404
KVY,AlphaTauri,28.0,115.95200000000001,2.0,MEDIUM,1.0,17.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,19.96762527983468
HUL,Alpine,20.0,116.138,2.0,MEDIUM,1.0,12.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,19.999655588083346
RIC,Alpine,30.0,114.884,2.0,SOFT,1.0,11.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,19.783709316342343
NOR,McLaren,5.0,116.57100000000001,2.0,MEDIUM,1.0,20.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,20.074220768038575
NOR,McLaren,26.0,118.22500000000001,3.0,HARD,2.0,17.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,20.35904942311004
HAM,Mercedes,22.0,113.893,2.0,MEDIUM,1.0,3.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,19.613053211641123
HAM,Mercedes,43.0,112.30300000000001,3.0,SOFT,9.0,3.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,19.339245737902534
VET,Ferrari,17.0,113.52900000000001,2.0,SOFT,1.0,4.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,19.550370242810402
VET,Ferrari,32.0,112.79100000000001,3.0,MEDIUM,1.0,3.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,19.423282245565698
SAI,McLaren,27.0,114.28200000000001,2.0,MEDIUM,1.0,6.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,19.680041329429997
RUS,Williams,26.0,117.86900000000001,2.0,HARD,1.0,18.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,20.297744101945927
RAI,Alfa Romeo,16.0,117.01,2.0,HARD,1.0,18.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,20.14981918374376
RAI,Alfa Romeo,37.0,113.786,3.0,SOFT,1.0,17.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,19.59462717410022
BOT,Mercedes,18.0,111.522,2.0,MEDIUM,1.0,2.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,19.204752884449803
BOT,Mercedes,37.0,112.033,3.0,SOFT,4.0,2.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,19.292750129154467
GRO,Haas F1 Team,17.0,114.85300000000001,2.0,HARD,1.0,17.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,19.778370931634235
