,Driver,Stint,Compound,GP,Year,StintLength
134,ALB,2.0,MEDIUM,Monaco,2019,37
135,ALB,2.0,MEDIUM,Monaco,2020,1
136,ALB,2.0,MEDIUM,Monza,2019,23
137,ALB,2.0,MEDIUM,Monza,2020,1
138,ALB,2.0,MEDIUM,Netherlands,2019,42
139,ALB,2.0,MEDIUM,Netherlands,2020,14
140,ALB,2.0,MEDIUM,Netherlands,2022,20
141,ALB,2.0,MEDIUM,Netherlands,2023,15
142,ALB,2.0,MEDIUM,Qatar,2023,12
143,ALB,2.0,MEDIUM,Saudi Arabia,2019,42
144,ALB,2.0,MEDIUM,Singapore,2020,26
145,ALB,2.0,MEDIUM,Spain,2019,18
146,ALB,2.0,MEDIUM,Spain,2022,12
147,ALB,2.0,SOFT,Australia,2022,1
148,ALB,2.0,SOFT,Bahrain,2019,15
149,ALB,2.0,SOFT,Bahrain,2023,14
150,ALB,2.0,SOFT,Belgium,2019,20
151,ALB,2.0,SOFT,Great Britain,2023,14
152,ALB,2.0,SOFT,Mexico,2022,30
153,ALB,3.0,HARD,Abu Dhabi,2023,14
154,ALB,3.0,HARD,Austin,2022,31
155,ALB,3.0,HARD,Austria,2022,53
156,ALB,3.0,HARD,Austria,2023,26
157,ALB,3.0,HARD,Azerbaijan,2022,18
158,ALB,3.0,HARD,Bahrain,2023,12
159,ALB,3.0,HARD,Canada,2022,17
160,ALB,3.0,HARD,China,2022,17
161,ALB,3.0,HARD,Hungary,2020,35
162,ALB,3.0,HARD,Hungary,2023,37
163,ALB,3.0,HARD,Mexico,2019,26
164,ALB,3.0,HARD,Miami,2019,26
165,ALB,3.0,HARD,Monaco,2020,25
166,ALB,3.0,HARD,Monza,2020,25
167,ALB,3.0,HARD,Netherlands,2022,8
168,ALB,3.0,HARD,Qatar,2022,53
169,ALB,3.0,HARD,Qatar,2023,11
170,ALB,3.0,HARD,Singapore,2020,35
171,ALB,3.0,MEDIUM,Abu Dhabi,2022,21
172,ALB,3.0,MEDIUM,Austin,2019,19
173,ALB,3.0,MEDIUM,Austin,2023,26
174,ALB,3.0,MEDIUM,Bahrain,2019,27
175,ALB,3.0,MEDIUM,Bahrain,2020,14
176,ALB,3.0,MEDIUM,Bahrain,2022,7
177,ALB,3.0,MEDIUM,Belgium,2022,17
178,ALB,3.0,MEDIUM,Belgium,2023,8
179,ALB,3.0,MEDIUM,Brazil,2020,14
180,ALB,3.0,MEDIUM,Brazil,2022,20
181,ALB,3.0,MEDIUM,China,2020,24
182,ALB,3.0,MEDIUM,Great Britain,2020,21
183,ALB,3.0,MEDIUM,Hungary,2022,17
184,ALB,3.0,MEDIUM,Japan,2020,25
185,ALB,3.0,MEDIUM,Mexico,2023,35
186,ALB,3.0,MEDIUM,Miami,2020,25
187,ALB,3.0,MEDIUM,Singapore,2023,17
188,ALB,3.0,MEDIUM,Spain,2019,16
189,ALB,3.0,MEDIUM,Spain,2020,25
190,ALB,3.0,MEDIUM,Spain,2023,27
191,ALB,3.0,SOFT,Brazil,2019,8
192,ALB,3.0,SOFT,Canada,2020,21
193,ALB,3.0,SOFT,Imola,2020,3
194,ALB,3.0,SOFT,Japan,2019,18
195,ALB,3.0,SOFT,Japan,2023,11
196,ALB,3.0,SOFT,Mexico,2020,21
197,ALB,3.0,SOFT,Spain,2022,19
198,ALB,4.0,HARD,Austria,2023,29
199,ALB,4.0,HARD,Bahrain,2020,18
200,ALB,4.0,HARD,Brazil,2020,18
201,ALB,4.0,HARD,Qatar,2023,12
202,ALB,4.0,MEDIUM,Brazil,2022,16
203,ALB,4.0,MEDIUM,Canada,2020,9
204,ALB,4.0,MEDIUM,Mexico,2020,9
205,ALB,4.0,MEDIUM,Monaco,2022,16
206,ALB,4.0,MEDIUM,Spain,2022,7
207,ALB,4.0,SOFT,Austin,2019,15
208,ALB,4.0,SOFT,Austin,2020,6
209,ALB,4.0,SOFT,Australia,2020,6
210,ALB,4.0,SOFT,Austria,2020,6
211,ALB,4.0,SOFT,Azerbaijan,2020,6
212,ALB,4.0,SOFT,Bahrain,2022,9
213,ALB,4.0,SOFT,Bahrain,2023,16
214,ALB,4.0,SOFT,Belgium,2023,10
215,ALB,4.0,SOFT,Hungary,2022,26
216,ALB,4.0,SOFT,Qatar,2020,6
217,ALB,5.0,SOFT,Netherlands,2022,13
218,ALB,5.0,SOFT,Spain,2022,9
219,ALB,6.0,SOFT,Canada,2020,13
220,ALB,6.0,SOFT,Mexico,2020,13
221,ALO,1.0,HARD,Abu Dhabi,2021,34
222,ALO,1.0,HARD,Austin,2022,16
223,ALO,1.0,HARD,Australia,2022,26
224,ALO,1.0,HARD,Austria,2022,23
225,ALO,1.0,HARD,China,2021,35
226,ALO,1.0,HARD,Monaco,2023,50
227,ALO,1.0,HARD,Qatar,2022,23
228,ALO,1.0,MEDIUM,Abu Dhabi,2022,18
229,ALO,1.0,MEDIUM,Abu Dhabi,2023,11
230,ALO,1.0,MEDIUM,Austin,2021,6
231,ALO,1.0,MEDIUM,Austin,2023,18
232,ALO,1.0,MEDIUM,Australia,2023,3
233,ALO,1.0,MEDIUM,Azerbaijan,2022,14
234,ALO,1.0,MEDIUM,Azerbaijan,2023,9
235,ALO,1.0,MEDIUM,Belgium,2022,8
236,ALO,1.0,MEDIUM,Belgium,2023,10
237,ALO,1.0,MEDIUM,Brazil,2021,4
238,ALO,1.0,MEDIUM,Brazil,2022,6
239,ALO,1.0,MEDIUM,Canada,2022,23
240,ALO,1.0,MEDIUM,Canada,2023,9
241,ALO,1.0,MEDIUM,China,2022,23
242,ALO,1.0,MEDIUM,China,2023,9
243,ALO,1.0,MEDIUM,Great Britain,2023,30
244,ALO,1.0,MEDIUM,Hungary,2022,19
245,ALO,1.0,MEDIUM,Hungary,2023,19
246,ALO,1.0,MEDIUM,Imola,2023,19
247,ALO,1.0,MEDIUM,Mexico,2021,35
248,ALO,1.0,MEDIUM,Mexico,2022,38
249,ALO,1.0,MEDIUM,Mexico,2023,27
250,ALO,1.0,MEDIUM,Miami,2022,13
251,ALO,1.0,MEDIUM,Miami,2023,22
252,ALO,1.0,MEDIUM,Monaco,2021,41
253,ALO,1.0,MEDIUM,Monza,2021,23
254,ALO,1.0,MEDIUM,Monza,2022,29
255,ALO,1.0,MEDIUM,Monza,2023,19
256,ALO,1.0,MEDIUM,Qatar,2023,6
257,ALO,1.0,MEDIUM,Saudi Arabia,2021,8
258,ALO,1.0,MEDIUM,Saudi Arabia,2022,14
259,ALO,1.0,MEDIUM,Saudi Arabia,2023,17
260,ALO,1.0,MEDIUM,Singapore,2023,18
261,ALO,1.0,SOFT,Australia,2021,25
262,ALO,1.0,SOFT,Austria,2021,25
263,ALO,1.0,SOFT,Azerbaijan,2021,5
264,ALO,1.0,SOFT,Bahrain,2021,7
265,ALO,1.0,SOFT,Bahrain,2022,9
266,ALO,1.0,SOFT,Bahrain,2023,13
267,ALO,1.0,SOFT,Canada,2021,14
268,ALO,1.0,SOFT,Japan,2021,14
269,ALO,1.0,SOFT,Japan,2023,7
270,ALO,1.0,SOFT,Netherlands,2021,31
271,ALO,1.0,SOFT,Netherlands,2022,10
272,ALO,1.0,SOFT,Qatar,2021,21
273,ALO,1.0,SOFT,Spain,2021,14
274,ALO,1.0,SOFT,Spain,2022,8
275,ALO,1.0,SOFT,Spain,2023,17
276,ALO,2.0,HARD,Abu Dhabi,2022,7
277,ALO,2.0,HARD,Abu Dhabi,2023,23
278,ALO,2.0,HARD,Austin,2021,19
279,ALO,2.0,HARD,Australia,2021,42
280,ALO,2.0,HARD,Australia,2023,41
281,ALO,2.0,HARD,Austria,2021,42
282,ALO,2.0,HARD,Austria,2023,10
283,ALO,2.0,HARD,Azerbaijan,2021,21
284,ALO,2.0,HARD,Azerbaijan,2022,30
285,ALO,2.0,HARD,Azerbaijan,2023,38
286,ALO,2.0,HARD,Bahrain,2023,19
287,ALO,2.0,HARD,Canada,2022,20
288,ALO,2.0,HARD,Canada,2023,24
289,ALO,2.0,HARD,China,2022,20
290,ALO,2.0,HARD,China,2023,24
291,ALO,2.0,HARD,Hungary,2022,44
292,ALO,2.0,HARD,Hungary,2023,22
293,ALO,2.0,HARD,Imola,2023,29
294,ALO,2.0,HARD,Japan,2023,11
295,ALO,2.0,HARD,Mexico,2021,30
296,ALO,2.0,HARD,Mexico,2022,22
297,ALO,2.0,HARD,Mexico,2023,1
298,ALO,2.0,HARD,Miami,2022,34
299,ALO,2.0,HARD,Miami,2023,32
300,ALO,2.0,HARD,Monza,2021,22
301,ALO,2.0,HARD,Monza,2023,29
302,ALO,2.0,HARD,Netherlands,2022,33
303,ALO,2.0,HARD,Qatar,2021,31
304,ALO,2.0,HARD,Saudi Arabia,2022,15
305,ALO,2.0,HARD,Saudi Arabia,2023,30
306,ALO,2.0,HARD,Singapore,2023,18
307,ALO,2.0,MEDIUM,Abu Dhabi,2021,16
308,ALO,2.0,MEDIUM,Austin,2023,22
309,ALO,2.0,MEDIUM,Australia,2022,11
310,ALO,2.0,MEDIUM,Bahrain,2021,17
311,ALO,2.0,MEDIUM,Bahrain,2022,13
312,ALO,2.0,MEDIUM,Belgium,2022,13
313,ALO,2.0,MEDIUM,Belgium,2023,18
314,ALO,2.0,MEDIUM,Brazil,2022,19
315,ALO,2.0,MEDIUM,Canada,2021,37
316,ALO,2.0,MEDIUM,China,2021,10
317,ALO,2.0,MEDIUM,Great Britain,2021,20
318,ALO,2.0,MEDIUM,Great Britain,2022,30
319,ALO,2.0,MEDIUM,Japan,2021,37
320,ALO,2.0,MEDIUM,Netherlands,2021,37
321,ALO,2.0,MEDIUM,Qatar,2023,13
322,ALO,2.0,MEDIUM,Spain,2021,37
323,ALO,2.0,MEDIUM,Spain,2022,19
324,ALO,2.0,SOFT,Great Britain,2023,14
325,ALO,2.0,SOFT,Monaco,2021,30
326,ALO,2.0,SOFT,Spain,2023,23
327,ALO,3.0,HARD,Abu Dhabi,2023,21
328,ALO,3.0,HARD,Austin,2021,10
329,ALO,3.0,HARD,Austin,2022,31
330,ALO,3.0,HARD,Austin,2023,5
331,ALO,3.0,HARD,Bahrain,2021,2
332,ALO,3.0,HARD,Bahrain,2022,16
333,ALO,3.0,HARD,Bahrain,2023,21
334,ALO,3.0,HARD,Belgium,2022,18
335,ALO,3.0,HARD,Canada,2023,29
336,ALO,3.0,HARD,China,2023,29
337,ALO,3.0,HARD,Great Britain,2021,27
338,ALO,3.0,HARD,Great Britain,2022,4
339,ALO,3.0,HARD,Hungary,2023,26
340,ALO,3.0,HARD,Japan,2023,27
341,ALO,3.0,HARD,Mexico,2023,10
342,ALO,3.0,HARD,Qatar,2023,16
343,ALO,3.0,HARD,Spain,2023,21
344,ALO,3.0,MEDIUM,Australia,2022,2
345,ALO,3.0,MEDIUM,Austria,2022,28
346,ALO,3.0,MEDIUM,Austria,2023,27
347,ALO,3.0,MEDIUM,Brazil,2021,19
348,ALO,3.0,MEDIUM,Brazil,2022,15
349,ALO,3.0,MEDIUM,Canada,2022,16
350,ALO,3.0,MEDIUM,China,2022,16
351,ALO,3.0,MEDIUM,Hungary,2021,34
352,ALO,3.0,MEDIUM,Monaco,2022,26
353,ALO,3.0,MEDIUM,Qatar,2022,28
354,ALO,3.0,MEDIUM,Singapore,2021,34
355,ALO,3.0,SOFT,Azerbaijan,2021,10
356,ALO,3.0,SOFT,Belgium,2023,14
357,ALO,3.0,SOFT,Brazil,2023,20
358,ALO,3.0,SOFT,Canada,2021,3
359,ALO,3.0,SOFT,Japan,2021,3
360,ALO,3.0,SOFT,Netherlands,2022,6
361,ALO,3.0,SOFT,Netherlands,2023,30
362,ALO,3.0,SOFT,Singapore,2023,15
363,ALO,3.0,SOFT,Spain,2021,3
364,ALO,3.0,SOFT,Spain,2022,21
365,ALO,4.0,HARD,Brazil,2021,34
366,ALO,4.0,HARD,Hungary,2021,30
367,ALO,4.0,HARD,Saudi Arabia,2021,18
368,ALO,4.0,HARD,Singapore,2021,30
369,ALO,4.0,MEDIUM,Austin,2021,9
370,ALO,4.0,MEDIUM,Austria,2022,11
371,ALO,4.0,MEDIUM,Austria,2023,26
372,ALO,4.0,MEDIUM,Brazil,2023,20
373,ALO,4.0,MEDIUM,Imola,2021,28
374,ALO,4.0,MEDIUM,Miami,2021,28
375,ALO,4.0,MEDIUM,Qatar,2022,11
376,ALO,4.0,MEDIUM,Qatar,2023,12
377,ALO,4.0,SOFT,Bahrain,2022,8
378,ALO,4.0,SOFT,Brazil,2022,12
379,ALO,4.0,SOFT,Great Britain,2022,10
380,ALO,4.0,SOFT,Netherlands,2022,12
381,ALO,4.0,SOFT,Netherlands,2023,11
382,ALO,4.0,SOFT,Spain,2022,11
383,ALO,5.0,SOFT,Azerbaijan,2021,1
384,ALO,5.0,SOFT,Brazil,2023,23
385,ALO,5.0,SOFT,Saudi Arabia,2021,4
386,BOT,1.0,HARD,Abu Dhabi,2022,29
387,BOT,1.0,HARD,Abu Dhabi,2023,28
388,BOT,1.0,HARD,Azerbaijan,2022,29
389,BOT,1.0,HARD,Canada,2022,43
390,BOT,1.0,HARD,Canada,2023,28
391,BOT,1.0,HARD,China,2021,25
392,BOT,1.0,HARD,China,2022,43
393,BOT,1.0,HARD,China,2023,28
394,BOT,1.0,HARD,Great Britain,2023,30
395,BOT,1.0,HARD,Imola,2023,23
396,BOT,1.0,HARD,Monaco,2023,49
397,BOT,1.0,HARD,Monza,2021,24
398,BOT,1.0,HARD,Monza,2023,23
399,BOT,1.0,HARD,Singapore,2023,33
400,BOT,1.0,MEDIUM,Abu Dhabi,2019,26
401,BOT,1.0,MEDIUM,Abu Dhabi,2020,9
402,BOT,1.0,MEDIUM,Abu Dhabi,2021,29
403,BOT,1.0,MEDIUM,Austin,2019,14
404,BOT,1.0,MEDIUM,Austin,2021,13
405,BOT,1.0,MEDIUM,Austin,2022,10
406,BOT,1.0,MEDIUM,Austin,2023,9
407,BOT,1.0,MEDIUM,Australia,2021,26
408,BOT,1.0,MEDIUM,Australia,2022,15
409,BOT,1.0,MEDIUM,Austria,2019,21
410,BOT,1.0,MEDIUM,Austria,2021,26
411,BOT,1.0,MEDIUM,Austria,2022,4
412,BOT,1.0,MEDIUM,Azerbaijan,2023,5
413,BOT,1.0,MEDIUM,Bahrain,2021,10
414,BOT,1.0,MEDIUM,Belgium,2020,10
415,BOT,1.0,MEDIUM,Brazil,2021,4
416,BOT,1.0,MEDIUM,Canada,2019,23
417,BOT,1.0,MEDIUM,China,2019,18
418,BOT,1.0,MEDIUM,China,2020,20
419,BOT,1.0,MEDIUM,Great Britain,2019,15
420,BOT,1.0,MEDIUM,Great Britain,2020,8
421,BOT,1.0,MEDIUM,Hungary,2019,3
422,BOT,1.0,MEDIUM,Hungary,2022,24
423,BOT,1.0,MEDIUM,Hungary,2023,8
424,BOT,1.0,MEDIUM,Imola,2020,17
425,BOT,1.0,MEDIUM,Mexico,2019,32
426,BOT,1.0,MEDIUM,Mexico,2022,38
427,BOT,1.0,MEDIUM,Mexico,2023,29
428,BOT,1.0,MEDIUM,Miami,2019,32
429,BOT,1.0,MEDIUM,Miami,2022,25
430,BOT,1.0,MEDIUM,Miami,2023,13
431,BOT,1.0,MEDIUM,Monza,2022,33
432,BOT,1.0,MEDIUM,Qatar,2019,21
433,BOT,1.0,MEDIUM,Qatar,2021,31
434,BOT,1.0,MEDIUM,Qatar,2022,4
435,BOT,1.0,MEDIUM,Saudi Arabia,2020,9
436,BOT,1.0,MEDIUM,Saudi Arabia,2021,9
437,BOT,1.0,MEDIUM,Saudi Arabia,2022,14
438,BOT,1.0,MEDIUM,Saudi Arabia,2023,8
439,BOT,1.0,SOFT,Austin,2020,21
440,BOT,1.0,SOFT,Australia,2019,21
441,BOT,1.0,SOFT,Australia,2020,21
442,BOT,1.0,SOFT,Austria,2020,21
443,BOT,1.0,SOFT,Azerbaijan,2019,11
444,BOT,1.0,SOFT,Azerbaijan,2020,21
445,BOT,1.0,SOFT,Azerbaijan,2021,10
446,BOT,1.0,SOFT,Bahrain,2019,12
447,BOT,1.0,SOFT,Bahrain,2022,12
448,BOT,1.0,SOFT,Bahrain,2023,11
449,BOT,1.0,SOFT,Belgium,2019,19
450,BOT,1.0,SOFT,Belgium,2022,1
451,BOT,1.0,SOFT,Belgium,2023,4
452,BOT,1.0,SOFT,Brazil,2019,24
453,BOT,1.0,SOFT,Brazil,2022,16
454,BOT,1.0,SOFT,Canada,2021,16
455,BOT,1.0,SOFT,Imola,2019,26
456,BOT,1.0,SOFT,Japan,2019,17
457,BOT,1.0,SOFT,Japan,2020,3
458,BOT,1.0,SOFT,Japan,2021,16
459,BOT,1.0,SOFT,Miami,2020,3
460,BOT,1.0,SOFT,Monaco,2019,9
461,BOT,1.0,SOFT,Monaco,2020,18
462,BOT,1.0,SOFT,Monaco,2021,28
463,BOT,1.0,SOFT,Monza,2019,26
464,BOT,1.0,SOFT,Monza,2020,18
465,BOT,1.0,SOFT,Netherlands,2019,21
466,BOT,1.0,SOFT,Netherlands,2020,12
467,BOT,1.0,SOFT,Netherlands,2021,29
468,BOT,1.0,SOFT,Netherlands,2022,15
469,BOT,1.0,SOFT,Netherlands,2023,6
470,BOT,1.0,SOFT,Qatar,2020,21
471,BOT,1.0,SOFT,Saudi Arabia,2019,21
472,BOT,1.0,SOFT,Singapore,2019,20
473,BOT,1.0,SOFT,Spain,2019,24
474,BOT,1.0,SOFT,Spain,2020,3
475,BOT,1.0,SOFT,Spain,2021,16
476,BOT,1.0,SOFT,Spain,2022,12
477,BOT,1.0,SOFT,Spain,2023,3
478,BOT,2.0,HARD,Abu Dhabi,2019,25
479,BOT,2.0,HARD,Abu Dhabi,2020,42
480,BOT,2.0,HARD,Abu Dhabi,2021,19
481,BOT,2.0,HARD,Austin,2019,20
482,BOT,2.0,HARD,Austin,2020,20
483,BOT,2.0,HARD,Austin,2021,17
484,BOT,2.0,HARD,Austin,2022,5
485,BOT,2.0,HARD,Austin,2023,17
486,BOT,2.0,HARD,Australia,2020,20
487,BOT,2.0,HARD,Australia,2021,43
488,BOT,2.0,HARD,Australia,2022,30
489,BOT,2.0,HARD,Australia,2023,3
490,BOT,2.0,HARD,Austria,2019,49
491,BOT,2.0,HARD,Austria,2020,20
492,BOT,2.0,HARD,Austria,2021,43
493,BOT,2.0,HARD,Austria,2022,4
494,BOT,2.0,HARD,Austria,2023,15
495,BOT,2.0,HARD,Azerbaijan,2020,20
496,BOT,2.0,HARD,Azerbaijan,2021,28
497,BOT,2.0,HARD,Azerbaijan,2023,2
498,BOT,2.0,HARD,Bahrain,2021,13
499,BOT,2.0,HARD,Bahrain,2023,17
500,BOT,2.0,HARD,Belgium,2020,30
501,BOT,2.0,HARD,Brazil,2019,13
502,BOT,2.0,HARD,Canada,2019,36
503,BOT,2.0,HARD,China,2019,14
504,BOT,2.0,HARD,China,2020,25
505,BOT,2.0,HARD,Great Britain,2020,31
506,BOT,2.0,HARD,Hungary,2019,39
507,BOT,2.0,HARD,Hungary,2022,38
508,BOT,2.0,HARD,Hungary,2023,30
509,BOT,2.0,HARD,Imola,2020,29
510,BOT,2.0,HARD,Mexico,2019,34
511,BOT,2.0,HARD,Mexico,2021,18
512,BOT,2.0,HARD,Mexico,2022,29
513,BOT,2.0,HARD,Miami,2019,34
514,BOT,2.0,HARD,Miami,2022,23
515,BOT,2.0,HARD,Miami,2023,41
516,BOT,2.0,HARD,Qatar,2019,49
517,BOT,2.0,HARD,Qatar,2020,20
518,BOT,2.0,HARD,Qatar,2021,14
519,BOT,2.0,HARD,Qatar,2022,4
520,BOT,2.0,HARD,Saudi Arabia,2020,42
521,BOT,2.0,HARD,Saudi Arabia,2022,15
522,BOT,2.0,HARD,Saudi Arabia,2023,6
523,BOT,2.0,HARD,Singapore,2019,27
524,BOT,2.0,HARD,Spain,2023,32
525,BOT,2.0,MEDIUM,Abu Dhabi,2022,26
526,BOT,2.0,MEDIUM,Abu Dhabi,2023,27
527,BOT,2.0,MEDIUM,Australia,2019,34
528,BOT,2.0,MEDIUM,Azerbaijan,2019,36
529,BOT,2.0,MEDIUM,Azerbaijan,2022,16
530,BOT,2.0,MEDIUM,Bahrain,2019,24
531,BOT,2.0,MEDIUM,Bahrain,2022,21
532,BOT,2.0,MEDIUM,Belgium,2019,20
533,BOT,2.0,MEDIUM,Belgium,2023,17
534,BOT,2.0,MEDIUM,Brazil,2022,20
535,BOT,2.0,MEDIUM,Canada,2021,27
536,BOT,2.0,MEDIUM,Canada,2022,16
537,BOT,2.0,MEDIUM,Canada,2023,34
538,BOT,2.0,MEDIUM,China,2021,17
539,BOT,2.0,MEDIUM,China,2022,16
540,BOT,2.0,MEDIUM,China,2023,34
541,BOT,2.0,MEDIUM,Great Britain,2019,24
542,BOT,2.0,MEDIUM,Great Britain,2021,18
543,BOT,2.0,MEDIUM,Great Britain,2022,16
544,BOT,2.0,MEDIUM,Hungary,2020,22
