LapNumber,GP,Year,TrackStatus,Label
31.0,Australia,2024,1,Green flag
32.0,Australia,2024,1,Green flag
33.0,Australia,2024,1,Green flag
34.0,Australia,2024,1,Green flag
35.0,Australia,2024,1,Green flag
36.0,Australia,2024,1,Green flag
37.0,Australia,2024,1,Green flag
38.0,Australia,2024,1,Green flag
39.0,Australia,2024,1,Green flag
40.0,Australia,2024,1,Green flag
41.0,Australia,2024,1,Green flag
42.0,Australia,2024,1,Green flag
43.0,Australia,2024,1,Green flag
44.0,Australia,2024,1,Green flag
45.0,Australia,2024,1,Green flag
46.0,Australia,2024,1,Green flag
47.0,Australia,2024,1,Green flag
48.0,Australia,2024,1,Green flag
49.0,Australia,2024,1,Green flag
50.0,Australia,2024,1,Green flag
51.0,Australia,2024,1,Green flag
52.0,Australia,2024,1,Green flag
53.0,Australia,2024,1,Green flag
54.0,Australia,2024,1,Green flag
55.0,Australia,2024,1,Green flag
56.0,Australia,2024,2,Yellow flag
57.0,Australia,2024,6,Virtual Safety Car
58.0,Australia,2024,6,Virtual Safety Car
1.0,Japan,2024,25,Red Flag
2.0,Japan,2024,1,Green flag
3.0,Japan,2024,1,Green flag
4.0,Japan,2024,1,Green flag
5.0,Japan,2024,1,Green flag
6.0,Japan,2024,1,Green flag
7.0,Japan,2024,1,Green flag
8.0,Japan,2024,1,Green flag
9.0,Japan,2024,1,Green flag
10.0,Japan,2024,1,Green flag
11.0,Japan,2024,1,Green flag
12.0,Japan,2024,1,Green flag
13.0,Japan,2024,1,Green flag
14.0,Japan,2024,1,Green flag
15.0,Japan,2024,1,Green flag
16.0,Japan,2024,1,Green flag
17.0,Japan,2024,1,Green flag
18.0,Japan,2024,1,Green flag
19.0,Japan,2024,1,Green flag
20.0,Japan,2024,1,Green flag
21.0,Japan,2024,1,Green flag
22.0,Japan,2024,1,Green flag
23.0,Japan,2024,1,Green flag
24.0,Japan,2024,1,Green flag
25.0,Japan,2024,1,Green flag
26.0,Japan,2024,1,Green flag
27.0,Japan,2024,1,Green flag
28.0,Japan,2024,1,Green flag
29.0,Japan,2024,1,Green flag
30.0,Japan,2024,1,Green flag
31.0,Japan,2024,1,Green flag
32.0,Japan,2024,1,Green flag
33.0,Japan,2024,1,Green flag
34.0,Japan,2024,1,Green flag
35.0,Japan,2024,1,Green flag
36.0,Japan,2024,1,Green flag
37.0,Japan,2024,1,Green flag
38.0,Japan,2024,1,Green flag
39.0,Japan,2024,1,Green flag
40.0,Japan,2024,1,Green flag
41.0,Japan,2024,1,Green flag
42.0,Japan,2024,2,Yellow flag
43.0,Japan,2024,1,Green flag
44.0,Japan,2024,1,Green flag
45.0,Japan,2024,1,Green flag
46.0,Japan,2024,1,Green flag
47.0,Japan,2024,1,Green flag
48.0,Japan,2024,1,Green flag
49.0,Japan,2024,1,Green flag
50.0,Japan,2024,1,Green flag
51.0,Japan,2024,1,Green flag
52.0,Japan,2024,1,Green flag
53.0,Japan,2024,1,Green flag
0.0,Japan,2024,25,Red Flag
1.0,China,2024,1,Green flag
