Driver,Team,LapNumber,LapTime,Stint,Compound,TyreLife,Position,Year,GP,IsAccurate,Unnamed: 0,Length,Abrasion,Traction,Braking,TrackEvo,Grip,Lateral,Downforce,TyreStress,LapTimePerKM
VER,Red Bull Racing,17.0,104.08200000000001,1.0,MEDIUM,20.0,5.0,2019,China,False,4,5.451,3,,,,3,4,2,4,19.09411117226197
VER,Red Bull Racing,34.0,102.88300000000001,2.0,HARD,17.0,5.0,2019,China,False,4,5.451,3,,,,3,4,2,4,18.874151531829025
LEC,Ferrari,22.0,105.36000000000001,1.0,MEDIUM,25.0,2.0,2019,China,False,4,5.451,3,,,,3,4,2,4,19.32856356631811
LEC,Ferrari,42.0,102.84400000000001,2.0,HARD,20.0,4.0,2019,China,False,4,5.451,3,,,,3,4,2,4,18.866996881306186
GAS,Red Bull Racing,19.0,104.35600000000001,1.0,SOFT,22.0,4.0,2019,China,False,4,5.451,3,,,,3,4,2,4,19.14437717849936
GAS,Red Bull Racing,39.0,103.236,2.0,HARD,20.0,6.0,2019,China,False,4,5.451,3,,,,3,4,2,4,18.9389102916896
GAS,Red Bull Racing,53.0,102.03200000000001,3.0,MEDIUM,14.0,6.0,2019,China,False,4,5.451,3,,,,3,4,2,4,18.71803338836911
RIC,Alpine,18.0,105.141,1.0,SOFT,21.0,8.0,2019,China,False,4,5.451,3,,,,3,4,2,4,19.2883874518437
PER,Aston Martin,20.0,105.308,1.0,MEDIUM,20.0,7.0,2019,China,False,4,5.451,3,,,,3,4,2,4,19.319024032287658
RAI,Alfa Romeo,25.0,105.35600000000001,1.0,MEDIUM,25.0,7.0,2019,China,False,4,5.451,3,,,,3,4,2,4,19.327829756008075
ALB,AlphaTauri,19.0,105.813,1.0,SOFT,19.0,11.0,2019,China,False,4,5.451,3,,,,3,4,2,4,19.411667583929557
GRO,Haas F1 Team,8.0,105.81400000000001,1.0,SOFT,11.0,13.0,2019,China,False,4,5.451,3,,,,3,4,2,4,19.411851036507066
GRO,Haas F1 Team,35.0,105.2,2.0,HARD,27.0,12.0,2019,China,False,4,5.451,3,,,,3,4,2,4,19.299211153916715
